namespace,cbb_items
AT#aprvlTmpltLvlNbr,승인템플릿레벨번호
AT#aprvlTmpltNm,승인템플릿명
AT#aprvlTmstmp,승인일시
AT#aprvlTpCd,승인유형
AT#aprvlTrgtBizIdCntnt,승인대상업무식별키내용
AT#aprvlTrgtSrvcCd,결재대상서비스코드
AT#aprvlTxDscd,승인거래구분
AT#aprvlVldtnRqstCd,승인조건코드
AT#aprvlVldtnRqstDtlCntnt,승인조건상세내용
AT#aprvlYn,결재여부
AT#aptAreaId,아파트면적식별자
AT#aptId,아파트식별자
AT#aptNm,아파트명
AT#aptPriceSrcClCd,아파트시세원천구분코드
AT#arbtrgRt,재정환율
AT#areaCntnt,면적내용
AT#areaKndCntnt,면적종류설명
AT#areaKndDescCntnt,면적종류설명내용
AT#areaNbrAddr,지번주소
AT#areaSeqNbr,지역일련번호
AT#areaTpCntnt,면적유형내용
AT#arrActvtyBizCd,계약활동업무코드
AT#arrActvtyBizCdNbr,계약활동업무코드번호
AT#arrActvtyCdNbr,계약활동업무코드번호
AT#arrActvtyEndDt,계약활동종료년월일
AT#arrActvtySeqNbr,계약활동일련번호
AT#arrActvtyStartDt,계약활동시작년월일
AT#arrActvtyStsCd,계약활동상태코드
AT#arrActvtyStsChngDt,계약활동상태변경년월일
AT#arrActvtyStsChngRsnCd,계약활동상태변경사유코드
AT#arrActvtyStsDt,계약활동상태일자
AT#arrActvtyStsEndDt,계약활동종료일자
AT#arrActvtyStsStartDt,계약활동시작일자
AT#arrActvtyTpCd,계약활동유형
AT#arrAdtnlAtrbtChngSeqNbr,계약추가속성변경일련번호
AT#arrAdtnlAtrbtMgmtYn,계약추가속성관리여부
AT#arrAdtnlAtrbtSeqNbr,계약추가속성일련번호
AT#arrAdtnlAtrbtStsCd,계약추가속성상태코드
AT#arrAdtnlAtrbtStsSeqNbr,계약추가속성상태일련번호
AT#arrAgrmntChnlDscd,계약약정채널구분
AT#arrAgrmntChnlNm,계약약정채널명
AT#arrAgrmntDt,계약약정일자
AT#arrAmt,계약금액
AT#arrAplctnId,계약신청식별자
AT#arrArrRelCd,계약계약관계코드
AT#arrArrRelSeqNbr,계약계약관계일련번호
AT#arrArrRelStsCd,계약계약관계상태코드
AT#arrArrRelStsChngRsnCd,계약계약관계상태변경사유코드
AT#arrAssetRelCd,계약자산관계코드
AT#arrAssetRelStsCd,계약자산관계상태코드
AT#arrAssetRelStsChngRsnCd,계약자산관계상태변경사유코드
AT#arrAtrbtValAdtnlKeyCntnt,계약속성값추가키내용
AT#arrAtrbtValAdtnlKeyVal,계약속성값추가키값
AT#arrAtrbtValOriginTpCd,계약속성값원천유형
AT#arrAtrbtValSeqNbr,계약속성값일련번호
AT#arrAvlblAmt,계약유효금액
AT#arrBal,계약잔액
AT#arrBalAmtInqryYn,계약잔액조회여부
AT#arrBaseAcctgItmCd,계약기준계정과목코드
AT#arrBnftRelSeqNbr,계약혜택관계일련번호
AT#arrBnftRelStsCd,계약혜택관계상태코드
AT#arrBnftRelStsChngRsnCd,계약혜택관계상태변경사유코드
AT#arrBrnchRelCd,계약부점관계코드
AT#arrBrnchRelSeqNbr,계약부점관계일련번호
AT#arrBrnchRelStsCd,계약부점관계상태코드
AT#arrBrnchRelStsChngRsnCd,계약부점관계상태변경사유코드
AT#arrChngAblDeptRelCd,계약변경가능부점관계코드
AT#arrCltrlRgstrnStsCd,계약담보등록상태코드
AT#arrCnclDscd,정리퇴결구분코드
AT#arrCndCd,계약조건코드
AT#arrCndChngSrvcTpCd,계약조건변경서비스유형
AT#arrCndEndVal,계약조건종료값
AT#arrCndStartVal,계약조건시작값
AT#arrCndStsCd,계약조건상태코드
AT#arrCndStsChngRsnCd,계약조건상태변경사유코드
AT#arrCndTpCd,계약조건유형코드
AT#arrCndVal,계약조건값
AT#arrCndValCntnt,계약조건값내용
AT#arrCrtnDt,계약생성일자
AT#arrCustRelCd,계약고객관계코드
AT#arrCustRelNm,계약고객관계명
AT#arrCustRelSeqNbr,계약고객관계일련번호
AT#arrCustRelStsCd,계약고객관계상태코드
AT#arrCustRelStsChngRsnCd,계약고객관계상태변경사유코드
AT#arrCustRltdPersonRelCd,계약고객관련인관계코드
AT#arrCustRltdPersonRelStsCd,계약고객관련인관계상태코드
AT#arrDayCnt,계약일수
AT#arrDeptRelCd,계약부서관계코드
AT#arrDeptRelSeqNbr,계약부서관계일련번호
AT#arrDeptRelStsCd,계약부서관계상태코드
AT#arrDeptRelStsChngRsnCd,계약부서관계상태변경사유코드
AT#arrDocRelCd,계약문서관계코드
AT#arrDocRelSeqNbr,계약문서관계일련번호
AT#arrDocRelStsCd,계약문서관계상태코드
AT#arrDocRelStsChngRsnCd,계약문서관계상태변경사유코드
AT#arrDocStrctrQryYn,계약 문서 구조 조회 여부
AT#arrDocTrgtDscd,계약문서대상구분코드
AT#arrDscd,정리구분코드
AT#arrDscrdDt,계약폐기일자
AT#arrDt,계약일자
AT#arrDtlTrmntnDscd,계약상세해지구분
