namespace,cbb_items
AT#acdntOcrAcctOwnrNm,Accident Occurrence Account Owner Name
AT#acdntOcrDt,Accident Occurrence Date
AT#acdntRgstrnDt,Accident Registration Date
AT#acdntRgstrnHms,Accident Registration Hhmmss
AT#acdntTrmntnDt,Accident Termination Date
AT#acmltdAmt,Accumulated Amount
AT#acmltdBaseMnth,Accumulated Base Month
AT#acmltdCalcnMthdCd,Accumulated Calculation Method
AT#acmltdTpCd,Accumulated Type Code
AT#acptncAmt,Acceptance Amount
AT#acptncDt,Acceptance Date
AT#acptncFeeLevyDt,Acceptance Fee Levy Date
AT#acptncFeeRt,Acceptance Fee Rate
AT#acptncInfoCntnt,Acceptance Information Content
AT#acptncNewCnt,Acceptance New Count
AT#acptncRspsnId,RcptnCgpId
AT#acptncStaffId,acceptance staff id
AT#acstnAcptncYn,Accusation Acceptance Yn
AT#actinPrgrsYn,Auction Progress Yn
AT#actinRgstrnInpDt,Auction Registration Input Date
AT#actinScsflBddrNm,Auction Successful Bidder Name
AT#actinWinBidAmt,Auction Win Bid Amount
AT#actinWinBidDt,Auction Winning Bid Date
AT#actorActorRelCd,Actor Actor Relation Code
AT#actorActorRelStsCd,Actor Actor Relation Status Code
AT#actorActorRelStsChngRsnCd,Actor Actor Relation Status Change Reason Code
AT#actorActorRelStsChngRsnCntnt,Actor Actor Relation Status Change Reason Content
AT#actorCtcptChngSeqNbr,Actor Contact Point Change Sequence Number
AT#actorCtcptCntnt,Actor Contact Point Content
AT#actorCtcptId,Actor Contact Point Identification
AT#actorCtcptIdCntnt,Actor Contact Point Identification Content
AT#actorDscd,Actor Distinction Code
AT#actorDtlTpCd,Actor Detail Type Code
AT#actorId,Actor Identification
AT#actorNm,Actor Name
AT#actorNmSeqNbr,Actor Name Sequence Number
AT#actorNmStsCd,Actor Name Status Code
AT#actorNmStsRsnCd,Actor Name Status Reason Code
AT#actorNmTpCd,Actor Name Type Code
AT#actorRgstrnDt,Actor Registration Date
AT#actorStsCd,Actor Status Code
AT#actorStsChngRsnCd,Actor Status Change Reason Code
AT#actorStsSeqNbr,Actor Status Sequence Number
AT#actorTaxRtCd,Actor Tax Rate Code
AT#actorTaxtnTpCd,Actor Taxation Type Code
AT#actorTpCd,Actor Type Code
AT#actorUnqIdNbr,Identification No.
AT#actorUnqIdNbrSeqNbr,Actor Unique Identification Number Sequence Number
AT#actorUnqIdNbrStsCd,Actor Unique Identification Number Status Code
AT#actorUnqIdNbrStsRsnCd,Actor Unique Identification Number Status Reason Code
AT#actorUnqIdNbrTpCd,Actor unique identification number type code
AT#actorXtnAtrbtStsCd,Actor Extend Attribute Status Code
AT#actorXtnValIdCntnt,Actor Extend Value Identification Content
AT#actorXtnValTpCd,Actor Extend Value Type Code
AT#actoraRelStsChngRsnCd,Actora Relation Status Change Reason Code
AT#actoraRelStsChngRsnCntnt,Actora Relation Status Change Reason Content
AT#actordRelSeqNbr,Actor Department Relation Sequence Number
AT#actordRelStsCd,Actor Department Relation Status Code
AT#actordRelStsChngRsnCd,Actor Department Relation Status Change Reason Code
AT#actordRelStsChngRsnCntnt,Actor Department Relation Status Change Reason Content
AT#actordRelTpCd,Actor Department Relation Type Code
AT#actualBal,Actual Balance
AT#actualInspctnTrgtBizCtgryYn,Actual Inspection Target Business type Yes or No
AT#actualLandClCd,Actual Land Classification Code
AT#actualPymntAmt,Actual Payment Amount
AT#actualPymntCnt,Actual Payment Count
AT#actualRcptAmt,Actual Receipt Amount
AT#actualRsltEvltnSumScore,Actual Result Evaluation Sum Score
AT#actualTrnsfrAmt,Actual Transfer Amount
AT#actvBtnVal,Active Button
AT#actvButtonVal,Active Button Value
AT#actvStsCd,Active Status Code
AT#actvUserYn,Active User Yn
AT#actvYn,Active Yn
AT#actvtyCntnt,Activity Content
AT#actvtyId,Activity Identification
AT#actvtyNm,Activity Name
AT#actvtyScore,Activity Score
AT#addCurrentVal,Add Current Value
AT#addIntRt,Add Interest Rate
AT#addSbtrctCd,Add Subtract Code
AT#addSbtrctDrctnOpsitYn,Addition And Subtraction Direction Opposition Yn
AT#addedOrderCntnt,Added Order Content
AT#addr,Address
AT#addrChngYn,Address Change Yn
AT#addrCntnt,Address Content
AT#addrDscd,Address Dscd
AT#addrHrarcyCd,Address Hierarchy Code
AT#addrHrarcySeqNbr,Address Hierarchy Sequence Number
AT#addrId,Address Identification
AT#addrSrchTpCd,address search type code
AT#addrSysCd,Address System Code
AT#adjmntIntRt,Adjusted Interest Rate
AT#adjstmntAmt,Adjustment Amount
AT#adjstmntCnt,Adjustment Count
AT#adjstmntFeeAmt,Adjustment Fee Amount
AT#adjstmntOpnProxyFeeAmt,Adjustment Open Proxy Fee Amount
AT#adminDongCd,Administration Dong Code
AT#adminDongNm,Administration Dong Name
AT#adriAddr,Ri Address
AT#adriCd,Ri Code
AT#adtnAmt,Addition Amount
AT#adtnIntRt,Addition Interest Rate
AT#adtnRdctnIntRt,Addition Reduction Interest Rate
AT#adtnSbtrctnDscd,Addition Subtraction DistinctionCode
AT#adtnlAcctNbr,Additional Account Number
AT#adtnlAtrbtCntnt,Additional Attribute Content
AT#adtnlAtrbtNm,Additional Attribute Name
AT#adtnlChargeDscd,Additional Charge Distinction Code
AT#adtnlDocQryYn,Additional Document Query Yn
AT#adtnlDtlNm,Additional Detail Name
AT#adtnlInfoCd,Additional Information Code
AT#adtnlInfoCntnt,Additional Information Content
AT#adtnlInfoDscd,Additional Information Distinction Code
AT#adtnlInfoDstnctnNm,Additional Information Distinction Name
AT#adtnlInfoExstncYn,Additional Information Existence Yn
AT#adtnlInfoSeqNbr,Additional Information Sequence Number
AT#adtnlInfoTpDscd,Additional Information Type Code
AT#adtnlInfoVal,Additional Information Value
AT#adtnlIntRt,Additional Interest Rate
AT#adtnlOpnnCntnt,Additional Opinion Content
AT#adviceAmt,Advice Amount
AT#adviceBnkBic,Advice Bank Bic
AT#adviceBnkNm,Advice Bank Name
AT#adviceTpDscd,Advice Type Distinction Code
AT#advncdDemandDpstBal,Advanced Demand Deposit Balance
AT#advncdDemandDpstIntAmt,Advanced Demand Deposit Interest Amount
AT#advncdDemandDpstPdCd,Advanced Demand Deposit Product Code
AT#afAmrtztnCostOcrAmt,After Amortization Cost Occurrence Amount
AT#afAplctnDt,Application Date After
AT#afCashRcvdAmt,After Cash Received Amount
AT#afCashWhdrwlAmt,After Cash Withdrawal Amount
AT#afChngAcctNbr,After Change Account Number
AT#afChngArrMtrtyDt,After Change Arrangement Maturity Date
AT#afChngArrStsCd,After Change Arrangement Status Code
AT#afChngAtrbtCntnt,After Change Attribute Content
AT#afChngAtrbtNm,After Change Attribute Name
AT#afChngClAmt,After Change Classification Amount
AT#afChngCndCdCntnt,After Change Condition Code Content
AT#afChngCndVal,After Change Condition Value
AT#afChngCndValCntnt,After Change Condition Value Content
AT#afChngCnfrmtnPswd,After Change Confirmation Password
AT#afChngCntnt,After Change Content
AT#afChngCustId,After Change Customer Identification
AT#afChngCustNm,after change customer name
AT#afChngCustUnqIdNbr,After Change Customer Unique Identification Number
AT#afChngDvdndAmt,After Change Dividend Amount
AT#afChngExprtnDt,After Change Expiration Date
AT#afChngLessRt,After Change Less Rate
AT#afChngMoreRt,After Change More Rate
AT#afChngOpnAmt,After Change Open Amount
AT#afChngPayerNbr,After Change Payer Number
AT#afChngPswd,New Password
AT#afChngQualityClCd,After Change Quality Classification Code
AT#afChngRprsnRlnmDscd,After Change Related_person Realname Dscd
AT#afChngRprsnRlnmNbr,After Change Related_person Realname Number
AT#afChngRpymntSchdldDt,After Change Repayment Scheduled Date
AT#afChngXtnAtrbtCntnt,After Change Extend Attribute Content
AT#afDlnDt,After Deadline Date
AT#afDlnInsrncArrearsAmt,After Deadline Insurance Arrears Amount
AT#afDlnPensionEmplymntPremiumAmt,After Deadline Pension Employment Premium Amount
AT#afDlyRpymntDt,After Delay Repayment Date
AT#afLastAprvlDt,Last Approval Date After
AT#afMtrtyOvrduYn,After Maturity Overdue Yn
AT#afOpnDt,Open Date After
AT#afOvrduRpymntAmt,After Overdue Repayment Amount
AT#afPrcsngInfoCntnt,After Processing Information
AT#afPrdAmt,After Period Amount
AT#afPymntAgrmntBal,After Payment Agreement Balance
AT#afRdpstIntCalcnWhdrwlSumAmt,After Redeposit Interest Calculation Withdrawal Sum Amount
AT#afTdyFrstUnpdDt,After Today First Unpaid Date
AT#afTxBalAmt,After Transaction Balance Amount
AT#afTxInfoJson,After Transaction Information JSON
AT#age,Age
AT#agrmntAmt,Aggrement Amount
AT#agrmntAmtInqryYn,Agreement Amount Inquery Yes Or No
AT#agrmntBal,Agreement balance
AT#agrmntDocId,Agreement Document Identification
AT#agrmntDocIssueId,Agreement Document Issue Identification
AT#agrmntDt,Agreement Date
AT#agrmntGoalCd,Agreement Goal Code
AT#agrmntHms,Agreement Hhmmss
AT#agrmntIntRt,Agreement Interest Rate
AT#agrmntMkngDt,Agreement Making Date
AT#agrmntMndtryYn,Agreement Mandatory Yn
AT#agrmntRt,Agreement Rate
AT#agrmntSeqNbr,Agreement Sequence Number
AT#agrmntTpCd,Agreement Type Code
AT#agrmntTpCdNm,Agreement Type Code Name
AT#agrmntTrmCnt,Agreement Term
AT#agrmntYn,Agreement Yn
AT#alBalWhdrwlBlckngYn,All Balance Withdrawal Blocking Yn
AT#alDpstAmt,All Deposit Amount
AT#alInstAplyYn,All Institution Apply Yesorno
AT#alPymntDsNbr,All Payment Distinction Number
AT#alWhdrwlAmt,All Withdrawal Amount
AT#alarmDescCntnt,Alarm Description Content
AT#alctnQnty,Allocation Quantity
AT#algrthmId,Algorithm Identification
AT#aliasId,Alias Identification
AT#aliasNm,Alias Name
AT#allotAmt,Allot Amount
AT#allotAmtPerMnth,Allot Amount Per Month
AT#allotCnt,Allot Count
AT#allwncBaseDt,Allowance Base Date
AT#allwncRt,Allowance Rate
AT#allwncSumAmt,Allowance Sum Amount
AT#alncCdAutoTlrMachineFeeAmt,Alliance Cash Dispenser Auto Teller Machine Fee Amount
AT#alncCmpnyTxUnqNbr,Alliance Company Transaction Unique Number
AT#alncCntrctNbr,Alliance Contract Number
AT#alncNonProfitAsctnNm,Alliance Non Profit Association Name
AT#alreadyCrdtLnAmt,Already Credit Loan Amount
AT#alreadyExistChkYn,Already Exist Check Yn
AT#alreadyGrntAmt,Already Guarantee Amount
AT#alreadyPymntAmt,Already Payment Amount
AT#alreadyPymntUseSysCd,Already Payment Use System Code
AT#alreadyWhdrwlAmt,Already Withdrawal Amount
AT#amdmntPrhbtnYn,Amendment Prohibition Yn
AT#amdmntTrnsfrYn,Amendment Transfer Yn
AT#amrtztnAmt,Amortization Amount
AT#amrtztnMnthCnt,Amortization Month Count
AT#amrtztnRndPstnLen,Amortization Round Position Length
AT#amt,Amount
AT#amtChkSignCd,Amount Check Sign Code
AT#amtCmptnCndKndCd,Amount Computation Condition Kind Code
AT#amtCmptnCndKndCdNm,Amount Computation Condition Kind Code Name
AT#amtCmptnDscd,Amount Computation Distinctioncode
AT#amtCmptnInfoSeqNbr,Amount Computation Information Sequence Number
AT#amtCndMaxVal,Amount Condition Maximum Value
AT#amtCndMinVal,Amount Condition Minimum Value
AT#amtCndYn,Amount Condition Yesorno
AT#amtDscd,Amount Distinctioncode
AT#amtKndDscd,Amount Source Code
AT#amtNcsrYn,Amount Necessary Yn
AT#amtPrtlRpymntYn,Amount Partial Repayment Yn
AT#amtTpCd,Amount Type Code
AT#amtTpCdNm,Amount Type Code Name
AT#amtTpCndYn,Amount Type Condition Yesorno
AT#amtTpDscd,Amount Type Distinctioncode
AT#amtTpDscdNm,Amount Type Distinctioncode Name
AT#amtTpNm,Amount Type Name
AT#amtTpRpymntSeq,Amount Type Repayment Sequence
AT#amtVldtnNbr,Amount Validation Number
AT#amtVldtnSeqNbr,Amount Validation Sequence Number
AT#analIncomeAmt,Annual Income Amount
AT#analNetPlBal,Annual Net Profit Loss Balance
AT#ancmntCrncyDscd,Announcement Currency Distinction Code
AT#ancmntDt,Announcement Date
AT#ancmntExRt,Announcement Exchange Rate
AT#ancmntNth,Announcement Nth
AT#anlzdIncomeAmt,Annualized Income Amount
AT#anlzdPiamtEstmtAmt,Annualized Principal Interest Amount Estimate Amount
AT#anlzdPiamtRpymntAmt,Annualized Principal Interest Amount Repayment Amount
AT#anlzdPrprtyTax,Annualized Property Tax
AT#anlzdRtrnRt,Annualized Return
AT#anlzdSalesAmt,Annualized Sales Amount
AT#answerCntnt,Answer Content
AT#answerTrgtId,Answer Target Identification
AT#answerTrgtTpCd,Answer Target Type Code
AT#apUseYn,Administration Portal Use Yn
AT#aplcntNm,Applicant Name
AT#aplctnAcctNbr,Application Account Number
AT#aplctnAcptncBrnchCd,Application Acceptance Branch Code
AT#aplctnAmt,Application Amount
AT#aplctnAprvlNbr,Application Approval Number
AT#aplctnArrId,Application Arrangement Identification
AT#aplctnBnkCd,Application Bank Code
AT#aplctnCd,Application Code
AT#aplctnChnlDscd,Application Channel Distinction Code
AT#aplctnCustId,Application Customer Identification
AT#aplctnCustNm,Application Customer Name
AT#aplctnDeptId,Application Department Identification
AT#aplctnDeptNm,Application Department Name
AT#aplctnDscd,Application Distinction Code
AT#aplctnDt,Application Date
AT#aplctnFailrCnt,Application failure Count
AT#aplctnFeeQryYn,Application Fee Query Yn
AT#aplctnHms,Application Hhmmss
AT#aplctnId,Application Identification
AT#aplctnInfoCntnt,Application Information
AT#aplctnNbr,Application Number
AT#aplctnNm,Application Name
AT#aplctnPersonNm,Application Person Name
AT#aplctnPrcsDscd,Application Process Distinction Code
AT#aplctnQualityClCd,Application Quality Classification Code
AT#aplctnRsltCd,Application Result Code
AT#aplctnRsltFailrCnt,Application Result Failed Count
AT#aplctnSeqNbr,Application Sequence Number
AT#aplctnStaffId,Application Staff Identification
AT#aplctnStaffNm,Application Staff Name
AT#aplctnStsCd,Application Status Code
AT#aplctnTrmCnt,Application Term Count
AT#aplntNm,Appellant Name
AT#aplyAmt,Apply Amount
AT#aplyAssetRcgntnRt,Apply Asset Recognition Rate
AT#aplyBaseExRt,Apply Base Exchange Rate
AT#aplyBaseExRtAncmntNth,Apply Base Exchange Rate Announcement Nth
AT#aplyBaseIntRt,Apply Base Interest Rate
AT#aplyBaseIntRtTmCd,Apply Base Interest Rate Time Code
AT#aplyBasePrice,Apply Base Price
AT#aplyClassNm,Apply Class Name
AT#aplyCltrlRcgntnRt,Apply Collateral Recognition Rate
AT#aplyCndVal,Apply Condition Value
AT#aplyDescCntnt,Apply Description
AT#aplyDt,Apply Date
AT#aplyDtm,Apply Date Time
AT#aplyEndDt,Apply End Date
AT#aplyEndDtm,Apply End Date Time
AT#aplyEndHms,Apply End Time
AT#aplyEndTmstmp,Apply End Timestamp
AT#aplyExRt,Apply Exchange Rate
AT#aplyExRtBaseDt,Apply Exchange Rate Base Date
AT#aplyExRtDscd,Apply Exchange Rate Distinctioncode
AT#aplyExRtNth,Apply Exchange Rate Nth
AT#aplyFeeRt,Apply Fee Rate
AT#aplyHms,Apply Hms
AT#aplyIntRt,Apply Interest Rate
AT#aplyIntRtInqryYn,Apply Interest Rate Inquery Yes Or No
AT#aplyIntRtKndCd,Apply Interest Rate Kind Code
AT#aplyIntRtKndCdNm,Apply Interest Rate Kind Code Name
AT#aplyIntRtSeqNbr,Apply Interest Rate Sequence Number
AT#aplyIntRtStsCd,Apply Interest Rate Status Code
AT#aplyIntRtStsChngRsnCd,Apply Interest Rate Status Change Reason Code
AT#aplyIntRtValSeqNbr,Apply Interest Rate Value Sequence Number
AT#aplyIntRtValStsCd,Apply Interest Rate Value Status Code
AT#aplyLvlNbr,Apply Level Number
AT#aplyMaxIntRt,Apply Maximum Interest Rate
AT#aplyMinIntRt,Apply Minimum Interest Rate
AT#aplyPrfIntRt,Apply Preferential Interest Rate
AT#aplyPrfRt,Apply Preferential Rate
AT#aplyPswdVldtnRuleCntnt,Apply Password Validation Rule
AT#aplyRt,Apply Rate
AT#aplyRuleCntnt,Apply Rule
AT#aplyRuleId,Apply Rule Identification
AT#aplySeq,Apply Sequence
AT#aplyStartDt,Apply Start Date
AT#aplyStartDtTm,Apply Start Date Time
AT#aplyStartHms,Apply Start Time
AT#aplyStartTmstmp,Apply Start Timestamp
AT#aplyTaxRt,Apply Tax Rate
AT#aplyTmstmp,Apply Timestamp
AT#aplyTrgtAmtDscd,APPLY TARGET AMOUNT Distinctioncode
AT#aplyYn,Apply Yesorno
AT#appendFeeAmt,Append Fee Amount
AT#appendFeeCnt,Append Fee Count
AT#applAplctnRsltCd,Appeal Application Result Code
AT#applCloseDt,Appeal Close Date
AT#applDropDt,Appeal Drop Date
AT#applDt,Appeal Date
AT#applPrgrsCnfrmtnDt,Appeal Progress Confirmation Date
AT#applRsnCntnt,Appeal Reason Content
AT#applYn,Appeal Yn
AT#appliedArrInqryYn,Applied Arrangement Inquiry Yn
AT#aprslAmt,Appraisal Amount
AT#aprslBizTripDesiredDt,Appraisal Business Trip Desired Date
AT#aprslCmpltnDesiredDt,Appraisal Completion Desired Date
AT#aprslCustRelCd,Appraisal Customer Relation Code
AT#aprslCustRelSeqNbr,Appraisal Customer Relation Sequence Number
AT#aprslCustRelStsCd,Appraisal Customer Relation Status Code
AT#aprslDeptRelCd,Appraisal Department Relation Code
AT#aprslDeptRelSeqNbr,Appraisal Department Relation Sequence Number
AT#aprslDeptRelStsCd,Appraisal Department Relation Status Code
AT#aprslDt,Appraisal Date
AT#aprslExmntnPrgrsStsCd,Appraisal Examination Progress Status Code
AT#aprslExmntnRqstTpCd,Appraisal Examination Request Type Code
AT#aprslFeeExmptnRsnCd,Appraisal Fee Exemption Reason Code
AT#aprslFeeExmptnYn,Appraisal Fee Exemption YN
AT#aprslId,Appraisal Identification
AT#aprslInstPrtnrId,Appraisal Institution Partner Identification
AT#aprslMthdCd,Appraisal Method Code
AT#aprslPrtnrRelCd,Appraisal Partner Relation Code
AT#aprslPrtnrRelSeqNbr,Appraisal Partner Relation Sequence Number
AT#aprslPrtnrRelStsCd,Appraisal Partner Relation Status Code
AT#aprslPurposeCd,Appraisal Purpose Code
AT#aprslQryDscd,Appraisal Query Distinctioncode
AT#aprslReportNbr,Appraisal Report Number
AT#aprslRqstClCd,Appraisal Request Classification Code
AT#aprslRqstDeptId,Appraisal Request Department Identification
AT#aprslRqstDt,Appraisal Request Date
AT#aprslRqstId,Appraisal Request Identification
AT#aprslRqstRspblStaffId,Appraisal Request Responsible Staff Identification
AT#aprslRqstSeqNbr,Appraisal Request Sequence Number
AT#aprslRqstStsCd,Appraisal Request Status Code
AT#aprslStaffRelCd,Appraisal Staff Relation Code
AT#aprslStaffRelSeqNbr,Appraisal Staff Relation Sequence Number
AT#aprslStaffRelStsCd,Appraisal Staff Relation Status Code
AT#aprslStsCd,Appraisal Status Code
AT#aprslStsDt,Appraisal Status Date
AT#aprslThingSeqNbr,Appraisal Thing Sequence Number
AT#aprslValSumAmt,Appraisal Value Sum Amount
AT#aprsrCntnt,Appraiser Content
AT#aprsrNm,Appraiser Name
AT#aprvDt,Approval Date
AT#aprvId,Approval Identifier
AT#aprvNcsrYn,Approval Necessary Yesorno
AT#aprvStsDscd,Approval Status Distinction Code
AT#aprvTpDscd,Approval Type Distinction
AT#aprvlAmt,Approval Amount
AT#aprvlAplctnAmt,Approval Application Amount
AT#aprvlAplctnCntnt,Approval Application Content
AT#aprvlAplctnCustId,Approval Application Customer Identification
AT#aprvlAplctnCustNm,Approval Application Customer Name
AT#aprvlAplctnDt,Approval Application Date
AT#aprvlAplctnEndDt,Approval Application End Date
AT#aprvlAplctnIntRt,Approval Application Interest Rate
AT#aprvlAplctnLnTrmCnt,Approval Application Loan Term
AT#aprvlAplctnStartDt,Approval Application Start Date
AT#aprvlAplctnTrmCnt,Approval Application Term
AT#aprvlBizCtgryCd,Approval Business Category Code
AT#aprvlCnclAblYn,Approval Cancel Able Yn
AT#aprvlCnclDt,Approval Cancel Date
AT#aprvlCnclDtlHms,Approval Cancel Detail Hhmmss
AT#aprvlCnclRsnCd,Approval Cancel Reason Code
AT#aprvlCndCd,Approval Condition Code
AT#aprvlCndDscd,Approval Condition Distinction Code
AT#aprvlCndNbr,Approval Condition Number
AT#aprvlCndUseYn,Approval Condition Use Yn
AT#aprvlCntnt,Approval Content
AT#aprvlDemandDeptId,Approval Demand Department Identification
AT#aprvlDemandDeptNm,Approval Demand Department Name
AT#aprvlDemandDt,Approval Demand Date
AT#aprvlDemandStaffId,Approval Demand Staff Identification
AT#aprvlDemandStaffNm,Approval Demand Staff Name
AT#aprvlDeptDscd,Approval Department Distinction Code
AT#aprvlDeptId,Approval Department Identification
AT#aprvlDeptNm,Approval Department Name
AT#aprvlDscd,Approval Distinction Code
AT#aprvlDt,Approval Date
AT#aprvlDtlStsCd,Approval Detail Status Code
AT#aprvlExctnStaffId,Approval Execution Staff Identification
AT#aprvlExctnStaffNm,Approval Execution Staff Name
AT#aprvlFinDscd,Approval Completion Distinction Code
AT#aprvlHms,Approval Time
AT#aprvlId,Approval Identifier
AT#aprvlLineNbr,Approval Line Number
AT#aprvlLineNm,Approval Line Name
AT#aprvlLvlNbr,Approval Level Number
AT#aprvlMrchntNbr,Approval Merchant Number
AT#aprvlMsgDscd,Approval Telegram Distinction Code
AT#aprvlNbr,Aprvl Number
AT#aprvlOpnnCntnt,Approval Opinion Content
AT#aprvlPiamt,Approval Principal Interest Amount
AT#aprvlPrhbtnRsnCntnt,Approval Prohibition Reason
AT#aprvlPtrnDscd,Approval Pattern Distinction
AT#aprvlQualityClCd,Approval Quality Classification Code
AT#aprvlRgstrnStepId,Approval Registration Step Identification
AT#aprvlRgstrnStepNm,Approval Registration Step Name
AT#aprvlRjctCntnt,Approval Reject Content
AT#aprvlRjctDeptId,Approval Reject Department Identification
AT#aprvlRjctStaffId,Approval Reject Staff Identification
AT#aprvlRjtRsnCd,Approval Rejection Reason Code
AT#aprvlRoleId,Approval Role Identification
AT#aprvlRoleNm,Approval Role Name
AT#aprvlRsltCd,Approval Result Code
AT#aprvlRsnCd,Approval Reason Code
AT#aprvlRsnNm,Approval Reason Name
AT#aprvlSeq,Approval Sequence
AT#aprvlSeqNbr,Approval Sequence Number
AT#aprvlStaffId,Approval Staff Identifier
AT#aprvlStaffNm,Approval Staff Name
AT#aprvlStartDt,Approval Start Date
AT#aprvlStgeCd,Approval Stage Code
AT#aprvlStgeDtlNbr,Approval Stage Detail Number
AT#aprvlStgeDtlSeqNbr,Approval Stage Detail Sequence Number
AT#aprvlStgePrcsSeqNbr,Approval Stage Processing Sequence Number
AT#aprvlStgeStsCd,Approval Stage Status Code
AT#aprvlStsCd,Approval Status
AT#aprvlTmpltDscd,Approval Template Distinction Code
AT#aprvlTmpltId,Approval Template Identification
AT#aprvlTmpltLvlCd,Approval Template Level
AT#aprvlTmpltLvlNbr,Approval Template Level Number
AT#aprvlTmpltNm,Approval Template Name
AT#aprvlTmstmp,Approval Timestamp
AT#aprvlTpCd,Approval Type
AT#aprvlTrgtBizIdCntnt,Approval Target Business Identifier Content
AT#aprvlTrgtSrvcCd,Approval Target Service Code
AT#aprvlTxDscd,aprvl Tx Dscd
AT#aprvlVldtnRqstCd,Approval Validation Request Code
AT#aprvlVldtnRqstDtlCntnt,Approval Validation Request Detail Content
AT#aprvlYn,Approval Yn
AT#aptAreaId,Apartment Area Identification
AT#aptId,Apartment Identification
AT#aptNm,Apartment Name
AT#aptPriceSrcClCd,Apartment Price Source Classification Code
AT#arbtrgRt,Arbitrage Rate
AT#areaCntnt,Area Content
AT#areaKndCntnt,Area Kind Content
