namespace,cbb_items
AT#adtnlInfoTpDscd,附加信息类型类别代码
AT#adtnlInfoVal,附加信息值
AT#adtnlIntRt,附加利率
AT#adviceAmt,通知金额
AT#adviceBnkBic,通知銀行BIC
AT#adviceBnkNm,通知銀行名称
AT#adviceTpDscd,通知类型区别代码
AT#advncdDemandDpstBal,高级需求存款余额
AT#advncdDemandDpstIntAmt,高级定期存款利息金额
AT#afAplctnDt,申请日期后
AT#afChngAcctNbr,更改后账号
AT#afChngArrMtrtyDt,更改后合同到期日
AT#afChngArrStsCd,变更后合同状态的代码
AT#afChngAtrbtNm,更改后属性名称
AT#afChngCndVal,更改后条件值
AT#afChngCndValCntnt,更改后条件值内容
AT#afChngCntnt,更改后内容
AT#afChngCustId,变更后客户识别
AT#afChngExprtnDt,变更后到期日
AT#afChngLessRt,变更后减价
AT#afChngMoreRt,变更后更多率
AT#afChngOpnAmt,变更后开立金额
AT#afChngPswd,更改后密码
AT#afChngRpymntSchdldDt,更改后还款计划日期
AT#afChngXtnAtrbtCntnt,更改后扩展属性内容
AT#afDlyRpymntDt,更改后延期的偿还日期
AT#afLastAprvlDt,最终批准日（之后）
AT#afOpnDt,开户日期后
AT#afPrcsngInfoCntnt,延期处理信息
AT#afPymntAgrmntBal,更改后支付协议余额
AT#afRdpstIntCalcnWhdrwlSumAmt,重新清算利息计算提取全额
AT#afTxInfoJson,交易信息后JSON
AT#age,年龄
AT#agrmntAmt,协议金额
AT#agrmntAmtInqryYn,约定金额查询与否
AT#agrmntBal,协议余额
AT#agrmntDocId,同意文档标识符
AT#agrmntDocIssueId,同意文件签发识别码
AT#agrmntDt,同意年月日
AT#agrmntGoalCd,同意目的代码
AT#agrmntIntRt,约定利率
AT#agrmntMndtryYn,同意必须与否
AT#agrmntSeqNbr,同意序列编号
AT#agrmntTpCd,
AT#agrmntTpCdNm,同意类型代码名
AT#agrmntTrmCnt,协议期间
AT#agrmntYn,同意与否
AT#alInstAplyYn,是否所有机构申请
AT#alctnQnty,分配数量
AT#alncCntrctNbr,加盟合约编号
AT#alncNonProfitAsctnNm,联盟非营利协会名称
AT#alreadyExistChkYn,已经存在检查与否
AT#alreadyWhdrwlAmt,已支取金额
AT#amdmntPrhbtnYn,禁止修改与否
AT#amt,金额
AT#amtCndMaxVal,金额最大值
AT#amtCndMinVal,金额最小值
AT#amtCndYn,金额条件与否
AT#amtKndDscd,金额种类区别代码
AT#amtNcsrYn,金额需要与否
AT#amtPrtlRpymntYn,金额部分还款是或不
AT#amtTpCd,金额类型
AT#amtTpCdNm,金额类型代码名称
AT#amtTpCndYn,金额类型条件与否
AT#amtTpDscd,金额类型类别代码
AT#amtTpDscdNm,金额类型区别代码名称
AT#amtTpNm,金额类型名称
AT#amtTpRpymntSeq,金额类型还款顺序
AT#analIncomeAmt,年收入
AT#analNetPlBal,净PL余额
AT#ancmntCrncyDscd,公告货币区别代码
AT#ancmntDt,挂牌年月日
AT#ancmntNth,挂牌期次
AT#anlzdRtrnRt,七日年化收益率
AT#answerCntnt,答复内容
AT#answerTrgtTpCd,答复对象类型代码
AT#aplcntNm,申请人姓名
AT#aplctnAmt,申请金额
AT#aplctnArrId,申请合约识别码
AT#aplctnCd,申请代码
AT#aplctnChnlDscd,申请渠道区别代码
AT#aplctnCustId,申请客户识别
AT#aplctnCustNm,申请客户名称
AT#aplctnDeptId,申请部门识别码
AT#aplctnDt,申请日期
AT#aplctnFeeQryYn,申请手续费查询与否
AT#aplctnHms,申请时分秒
AT#aplctnId,应用帐号
AT#aplctnInfoCntnt,申请信息
AT#aplctnNbr,申请编号
AT#aplctnNm,申请名称
AT#aplctnPrcsDscd,申请进度类别代码
AT#aplctnSeqNbr,申请序列编号
AT#aplctnStaffId,申请人员识别码
AT#aplctnStsCd,申请状态代码
AT#aplctnTrmCnt,申请条款总数
AT#aplyAssetRcgntnRt,套用资产认可比率
AT#aplyBaseExRt,套用基准汇率
AT#aplyBaseExRtAncmntNth,适用基准汇率公告次数
AT#aplyBaseIntRtTmCd,适用基准利率时间点代码
AT#aplyBasePrice,适用基准价格
AT#aplyClassNm,套用类名
AT#aplyCndVal,套用条件值
AT#aplyDescCntnt,适用事由
AT#aplyDt,适用日期
AT#aplyEndDt,申请结束日期
AT#aplyEndTmstmp,适用结束时间戳
AT#aplyExRt,套用汇率
AT#aplyExRtBaseDt,套用汇率基准日期
AT#aplyExRtNth,套用汇率期次
AT#aplyFeeRt,适用手续费率
AT#aplyIntRt,套用利率
AT#aplyIntRtInqryYn,适用利率查询与否
AT#aplyIntRtSeqNbr,套用利率序列编号
AT#aplyIntRtStsCd,套用利率状态代码
AT#aplyIntRtStsChngRsnCd,套用利率状态更改事由代码
AT#aplyIntRtValStsCd,套用利率值状态代码
AT#aplyLvlNbr,套用级别号
AT#aplyMaxIntRt,可套用最大利率
AT#aplyMinIntRt,可套用最小利率
AT#aplyPrfIntRt,套用优惠利率
AT#aplyPswdVldtnRuleCntnt,适用密码生效规则
AT#aplyRt,套用率
AT#aplyRuleId,套用规则ID
AT#aplySeq,
AT#aplyStartDt,适用起始日期
AT#aplyStartHms,适用开始时间
AT#aplyStartTmstmp,适用开始时间戳
AT#aplyTaxRt,套用税率
AT#aplyTrgtAmtDscd,应用目标数量区分代码
AT#aplyYn,适用与否
AT#appliedArrInqryYn,应用安排查询与否
AT#aprslAmt,鉴定金额
AT#aprslBizTripDesiredDt,鉴定希望上门年月日
AT#aprslCmpltnDesiredDt,鉴定希望结束年月日
AT#aprslDt,鉴定年月日
AT#aprslExmntnPrgrsStsCd,鉴定检查进度状态代码
AT#aprslExmntnRqstTpCd,
AT#aprslFeeExmptnRsnCd,鉴定手续费免除事由代码
AT#aprslFeeExmptnYn,鉴定手续费免除与否
AT#aprslId,鉴定识别码
AT#aprslInstPrtnrId,鉴定机构伙伴识别码
AT#aprslMthdCd,鉴定方法代码
AT#aprslPurposeCd,鉴定目的代码
AT#aprslReportNbr,鉴定书编号
AT#aprslRqstClCd,鉴定委托类别代码
AT#aprslRqstDeptId,鉴定委托部门识别码
AT#aprslRqstDt,鉴定委托年月日
AT#aprslRqstId,鉴定委托识别码
AT#aprslRqstRspblStaffId,鉴定委托负责人员识别码
AT#aprslRqstSeqNbr,鉴定委托序列编号
AT#aprslRqstStsCd,鉴定委托状态代码
AT#aprslStaffRelCd,鉴定员工关系代码
AT#aprslStsCd,鉴定状态代码
AT#aprslStsDt,鉴定状态年月日
AT#aprslThingSeqNbr,鉴定物品序列编号
AT#aprslValSumAmt,鉴定价格合计金额
AT#aprsrCntnt,鉴定人意见
AT#aprsrNm,鉴定人名
AT#aprvDt,批准日期
AT#aprvId,批准ID
AT#aprvNcsrYn,是否需要批准
AT#aprvStsDscd,
AT#aprvTpDscd,
AT#aprvlAmt,授权金额
AT#aprvlAplctnAmt,批准申请金额
AT#aprvlAplctnCntnt,授权申请内容
AT#aprvlAplctnCustId,批准申请客户标识符
AT#aprvlAplctnCustNm,批准申请客户名
AT#aprvlAplctnDt,批准申请日期
AT#aprvlAplctnEndDt,
AT#aprvlAplctnIntRt,批准申请利率
AT#aprvlAplctnLnTrmCnt,批准申请贷款条款
AT#aprvlAplctnStartDt,
AT#aprvlAplctnTrmCnt,批准申请期间
AT#aprvlBizCtgryCd,授权行业分类代码
AT#aprvlCnclDt,授权取消日期
AT#aprvlCnclDtlHms,授权取消详细时刻
AT#aprvlCnclRsnCd,授权取消事由代码
AT#aprvlCndDscd,批准条件区别代码
AT#aprvlCndNbr,授权条件编号
AT#aprvlCndUseYn,
AT#aprvlCntnt,授权内容
AT#aprvlDemandDeptId,批准需求部门鉴定
AT#aprvlDemandDeptNm,批准需求部门名称
AT#aprvlDemandDt,批准需求日期
AT#aprvlDemandStaffId,授权请求人员识别码
AT#aprvlDemandStaffNm,批准要求员工姓名
AT#aprvlDeptDscd,授权部门类别代码
AT#aprvlDeptId,授权部门识别码
AT#aprvlDscd,批准区别代码
AT#aprvlDt,批准日期
AT#aprvlExctnStaffId,实行批准员工标识符
AT#aprvlExctnStaffNm,实行批准员工姓名
AT#aprvlHms,
AT#aprvlId,授权识别码
AT#aprvlLineNbr,审批线号
AT#aprvlLineNm,审批线路名称
AT#aprvlLvlNbr,
AT#aprvlMrchntNbr,授权加盟店编号
AT#aprvlMsgDscd,授权信息类别代码
AT#aprvlNbr,授权编号
AT#aprvlOpnnCntnt,批准选项
AT#aprvlPrhbtnRsnCntnt,拒绝原因
AT#aprvlPtrnDscd,批准模式区别
AT#aprvlRjctCntnt,批准拒绝内容
AT#aprvlRjctDeptId,批准拒绝部门标识符
AT#aprvlRjctStaffId,批准拒绝员工标识符
AT#aprvlRjtRsnCd,授权拒绝事由代码
AT#aprvlRoleId,授权角色识别码
AT#aprvlRsltCd,授权结果代码
AT#aprvlRsnCd,批准原因代码
AT#aprvlRsnNm,批准原因名称
AT#aprvlSeq,授权顺序
AT#aprvlSeqNbr,授权序列编号
AT#aprvlStaffId,
AT#aprvlStgeCd,审批阶段代码
AT#aprvlStgeDtlNbr,审批阶段详细号码
AT#aprvlStgeDtlSeqNbr,审批阶段详细序列号
AT#aprvlStgePrcsSeqNbr,审批阶段处理序列号
AT#aprvlStgeStsCd,审批阶段状态代码
AT#aprvlStsCd,批准状态
AT#aprvlTmpltDscd,
AT#aprvlTmpltId,授权模板识别码
AT#aprvlTmpltLvlCd,授权模板级别代码
AT#aprvlTmpltNm,授权模板名
AT#aprvlTmstmp,授权日时
AT#aprvlTpCd,
AT#aprvlTrgtBizIdCntnt,授权对象业务识别码内容
AT#aprvlTrgtSrvcCd,授权对象服务代码
AT#aprvlTxDscd,授权交易类别代码
AT#aprvlYn,是否同意
AT#aptAreaId,公寓面积识别码
AT#aptId,公寓识别码
AT#aptNm,公寓名
AT#aptPriceSrcClCd,公寓房价来源类别代码
AT#arbtrgRt,套利率
AT#areaCntnt,面积内容
AT#areaKndCntnt,面积种类说明
AT#areaKndDescCntnt,面积种类描述
AT#areaNbrAddr,区号地址
AT#areaSeqNbr,地区序列编号
AT#areaTpCntnt,面积类型内容
AT#arrActvtyBizCd,合约活动业务代码
AT#arrActvtyBizCdNbr,合约活动业务代码编号
AT#arrActvtyEndDt,合约活动终止年月日
AT#arrActvtySeqNbr,合约活动序列编号
AT#arrActvtyStartDt,合约活动起始年月日
AT#arrActvtyStsCd,合约活动状态代码
AT#arrActvtyStsChngRsnCd,合约活动状态更改事由代码
AT#arrActvtyStsDt,合约活动状态年月日
AT#arrActvtyTpCd,
AT#arrAdtnlAtrbtChngSeqNbr,安排附加属性更改序列号
AT#arrAdtnlAtrbtSeqNbr,合约附加属性序列编号
AT#arrAdtnlAtrbtStsCd,合约附加属性状态代码
AT#arrAdtnlAtrbtStsSeqNbr,合约附加属性状态序列编号
AT#arrAgrmntChnlDscd,
AT#arrAgrmntDt,签约协定日期
AT#arrAmt,合约金额
AT#arrAplctnId,签约申请标识符
AT#arrArrRelCd,合约合约关系代码
AT#arrArrRelSeqNbr,合约合约关系序列编号
AT#arrArrRelStsCd,合约合约关系状态代码
AT#arrArrRelStsChngRsnCd,合约合约关系状态更改事由代码
AT#arrAssetRelCd,签约资产关系代码
AT#arrAssetRelStsCd,签约资产关系状态代码
AT#arrAssetRelStsChngRsnCd,签约资产关系状态更改事由代码
AT#arrAtrbtValAdtnlKeyVal,合约属性值附加键内容
AT#arrAtrbtValOriginTpCd,
AT#arrAtrbtValSeqNbr,合约属性值序列编号
AT#arrAvlblAmt,签约有效金额
AT#arrBal,
AT#arrBalAmtInqryYn,合同余额查询与否
AT#arrBrnchRelCd,签约分行关系代码
AT#arrBrnchRelSeqNbr,签约分行关系序列号
AT#arrBrnchRelStsCd,签约分行关系状态代码
AT#arrBrnchRelStsChngRsnCd,签约分行关系状态更改事由代码
AT#arrCltrlRgstrnStsCd,安排抵押登记状态码
AT#arrCnclDscd,排列取消区别代码
AT#arrCndStsCd,合约条件状态代码
AT#arrCndStsChngRsnCd,合约条件状态更改事由代码
AT#arrCndVal,签约条件值
AT#arrCndValCntnt,签约条件值内容
AT#arrCrtnDt,签约创建年月日
AT#arrCustRelCd,合约客户关系代码
AT#arrCustRelNm,签约客户关系名
AT#arrCustRelSeqNbr,合约客户关系序列编号
AT#arrCustRelStsCd,合约客户关系状态代码
AT#arrCustRelStsChngRsnCd,合约客户关系状态更改事由代码
AT#arrCustRltdPersonRelCd,合同客户关系人关系代码
AT#arrCustRltdPersonRelStsCd,合同客户关系人关系状态代码
AT#arrDayCnt,签约日数
AT#arrDeptRelCd,合约部门关系代码
AT#arrDeptRelSeqNbr,合约部门关系序列编号
AT#arrDeptRelStsCd,合约部门关系状态代码
AT#arrDeptRelStsChngRsnCd,合约部门关系状态更改事由代码
AT#arrDocRelCd,合约文件关系代码
AT#arrDocRelStsCd,合约文件关系状态代码
AT#arrDocRelStsChngRsnCd,合约文件关系状态更改事由代码
AT#arrDocStrctrQryYn,协议文件结构查询与否
AT#arrDscd,安排区别码
AT#arrDscrdDt,签约报废日期
AT#arrDt,签约日期
AT#arrEddSeqNbr,安排加强尽职调查序号
AT#arrEmplRelCd,合同员工关系代码
AT#arrEmplRelSeqNbr,合同员工关系序列号
AT#arrEmplRelStsCd,合同员工关系状态代码
AT#arrEmplRelStsChngRsnCd,合同员工关系状态更改事由代码
AT#arrExtrnlIdNbr,合约外部识别编号
AT#arrExtrnlIdNbrSeqNbr,合约外部识别编号序列编号
AT#arrExtrnlIdNbrStsCd,合约外部识别编号状态代码
AT#arrExtrnlIdNbrStsRsnCd,合约外部识别编号状态事由代码
AT#arrExtrnlIdNbrStsSeqNbr,合约外部识别编号状态序列编号
AT#arrExtrnlIdNbrTpCd,
AT#arrFinYn,签约完成与否
AT#arrGrpArrRelSeqNbr,合约群合约关系序列编号
AT#arrGrpArrRelStsCd,合约群合约关系状态代码
AT#arrGrpArrRelStsRsnCd,合约群合约关系状态事由代码
AT#arrGrpAtrbtNm,合约群属性名
AT#arrGrpAtrbtSeqNbr,合约群属性序列编号
AT#arrGrpAtrbtStsCd,合约群属性状态代码
AT#arrGrpAtrbtStsSeqNbr,合约群属性状态序列编号
AT#arrGrpAtrbtValJson,合约群属性值Json
AT#arrGrpDescCntnt,合约群说明内容
AT#arrGrpId,合约群识别码
AT#arrGrpNm,合约群名
AT#arrGrpStsCd,合约群状态代码
AT#arrGrpStsChngRsnCd,合约群状态更改事由代码
AT#arrGrpStsDt,合约群状态年月日
AT#arrGrpTpCd,
AT#arrId,合同帐号
AT#arrIdNbr,签约识别号码
AT#arrIdNbrKndCd,签约识别号码种类
AT#arrIdNbrSrvcBlckngTpCd,
AT#arrIntRtTpCd,合约利率类型
AT#arrIssmdaBlckngBizCd,合约发行介质冻结业务代码
AT#arrIssmdaBlckngBizCdNbr,合约发行介质冻结业务代码编号
AT#arrIssmdaBlckngCd,合约发行介质冻结代码
AT#arrIssmdaBlckngCntnt,合约发行介质冻结内容
AT#arrIssmdaBlckngSeqNbr,合约发行介质冻结序列编号
AT#arrIssmdaBlckngStsCd,合约发行介质冻结状态代码
AT#arrIssmdaBlckngStsSeqNbr,合约发行介质冻结状态序列编号
AT#arrIssmdaInhrncId,合约发行介质唯一识别码
AT#arrIssmdaPrflAtrbtNm,合约发行介质档案属性名
AT#arrIssmdaPrflCntnt,合约发行介质档案内容
AT#arrIssmdaPsbkMsgSeqNbr,合约发行介质存折消息序列编号
AT#arrIssmdaRelSeqNbr,合约发行介质关系序列编号
AT#arrIssmdaRelStsCd,合约发行介质关系状态代码
AT#arrIssmdaRelStsChngRsnCd,合约发行介质关系状态更改事由代码
AT#arrIssmdaStsCd,合约发行介质状态代码
AT#arrIssmdaStsChngRsnCd,安排发行情况变更原因码
AT#arrIssmdaStsSeqNbr,合约发行介质状态序列编号
AT#arrIssmdaTmpltId,合约发行介质模板识别码
AT#arrIssmdaTmpltNm,合约发行介质模板名
AT#arrIssmdaTpCd,
AT#arrKndCd,合约种类代码
AT#arrLastAgrmntDt,合约最终签定年月日
AT#arrLastAgrmntHms,合约最终确定时间
AT#arrMnthCnt,签约月数
AT#arrMtrtyDt,签约到期年月日
AT#arrNoticeFailSndRsnCd,合约通知发送失败事由代码
AT#arrNoticeFailSndSeqNbr,合约通知发送失败序列号
AT#arrNoticeFailSndStsCd,合约通知发送失败状态代码
AT#arrOpnDt,合约开户年月日
AT#arrOpnHms,
AT#arrPdRelSeqNbr,合约产品关系序列编号
AT#arrPdRelStsCd,合约产品关系状态代码
AT#arrPdRelStsChngRsnCd,合约产品关系状态更改事由代码
AT#arrPdRuleCntnt,合约产品规则内容
AT#arrPdRuleNm,安排产品规则名称
AT#arrPdRuleTpCd,
AT#arrPlnStsCd,合约计划状态代码
AT#arrPlnStsChngRsnCd,合约计划状态更改事由代码
AT#arrPrprtnStepStsCd,安排准备步骤状态代码
AT#arrPsbkBkgSeqNbr,合约存折记账序列编号
AT#arrPsbkEventSeqNbr,合约存折事件序列号
AT#arrRelCd,合约关系代码
AT#arrRelKndCd,合约关系种类代码
AT#arrRelKndNm,签约关系种类名称
AT#arrRelNm,签约关系名称
AT#arrRelSeqNbr,合约关系序列编号
AT#arrRelStartDt,签约关系开始日期
AT#arrResrcRelCd,签约资源关系代码
AT#arrResrcRelStsCd,签约资源关系状态代码
AT#arrResrcRelStsChngRsnCd,签约资源关系状态更改事由代码
AT#arrRprsnRelCd,合约关系人关系代码
AT#arrRprsnRelSeqNbr,合约关系人关系序列编号
AT#arrRprsnRelStsCd,合约关系人关系状态代码
AT#arrRprsnRelStsChngRsnCd,合约关系人关系状态更改事由代码
AT#arrSrchDscd,
AT#arrSrvcBlckngAmt,合约服务冻结金额
AT#arrSrvcBlckngAmtCrncyCd,合约服务冻结金额货币代码
AT#arrSrvcBlckngCaseNbr,安排服务封锁案件编号
AT#arrSrvcBlckngCd,合约服务冻结代码
AT#arrSrvcBlckngCdNm,签约服务模块代码名称
AT#arrSrvcBlckngCntnt,
AT#arrSrvcBlckngRdctnAmt,协议服务限制扣除金额
AT#arrSrvcBlckngRqerDscd,
AT#arrSrvcBlckngRqerNm,安排服务封锁请求者姓名
AT#arrSrvcBlckngRqerTelNbr,安排服务封锁请求者电话号码
AT#arrSrvcBlckngSeqNbr,合约服务冻结序列编号
AT#arrSrvcBlckngStsCd,合约服务冻结状态代码
AT#arrSrvcBlckngStsCdNm,签约服务模块状态代码名称
AT#arrSrvcBlckngStsChngRsnCd,安排服务阻止状态更改原因代码
AT#arrSrvcBlckngStsRsnCd,合约服务冻结状态事由代码
AT#arrSrvcBlckngTrgtNcsrTrgtCntnt,协议服务限制对象内容
AT#arrSrvcBlckngTrgtNcsrYn,协议服务限制对象需要与否
AT#arrSrvcTpCd,安排服务类型代码
AT#arrSrvcTpNm,
AT#arrStaffRelCd,合约人员关系代码
AT#arrStaffRelStsCd,合约人员关系状态代码
AT#arrStaffRelStsChngRsnCd,合约人员关系状态更改事由代码
AT#arrStrctrQryCd,签约模式查询代码
AT#arrStsCd,合约状态
AT#arrStsCdNm,合同状态代码名称
AT#arrStsChngDt,合约状态变更日期
AT#arrStsChngRsnBizCd,合约状态更改事由业务代码
AT#arrStsChngRsnBizCdNbr,合约状态更改事由业务代码编号
AT#arrStsChngRsnCd,签约状态更改事由代码
AT#arrStsChngRsnRmkCntnt,合约状态更改事由备注内容
AT#arrStsDt,合约状态年月日
AT#arrStsHms,
AT#arrStsNm,合约状态名称
AT#arrTrmCnt,签约期数
AT#arrTrmDscd,
AT#arrTrmMnthCnt,签约期间月数
AT#arrTrmntnDscd,
AT#arrTrmntnDt,签约解除日期
AT#arrTrmntnDtlDscd,
AT#arrTxRstrctnCd,签约交易限制代码
AT#arrTxRstrctnCdNm,签约交易限制代码名称
AT#arrTxRstrctnRqerDscd,
AT#arrTxRstrctnRqerDscdNm,签约交易限制要求人区分代码名称
AT#arrTxRstrctnRqerDtlCntnt,签约交易限制要求人详细内容
AT#arrTxRstrctnStsCd,签约交易限制状态代码
AT#arrTxRstrctnStsChngRsnCd,签约交易限制状态更改事由代码
AT#arrTxSeqNbr,签约交易序列号
AT#arrXtnAtrbtValJson,合约扩展属性值Json
AT#arrearCnt,欠账计数
AT#ascndngSortYn,是否递增排序
AT#asmArrRelStsCd,评估合约关系状态代码
AT#asmCmntCntnt,评估意见内容
AT#asmFndtnKndCd,评估根据种类代码
AT#asmId,
AT#asmItmId,
AT#asmItmNm,
AT#asmItmOriginDscd,
AT#asmItmRmkCntnt,
AT#asmItmTpCd,
AT#asmItmVal,评估条目值
AT#asmKndCd,评估种类代码
AT#asmStsCd,
AT#assetAcqstnClCd,资产获得类别代码
AT#assetAddrRegionClCd,资产地区分类代码
AT#assetAddrRegionClCrtrCd,资产地区分类基准代码
AT#assetAddrRegionClCrtrNm,资产地区分类基准名
AT#assetAddrRegionClNm,资产地区分类名
AT#assetAddrTpCd,
AT#assetAlctnPrity,资产分配顺序
AT#assetAprslRelStsCd,资产鉴定关系状态代码
AT#assetAssetRelCd,资产资产关系代码
AT#assetAssetRelSeqNbr,资产资产关系序列编号
AT#assetAssetRelStsCd,资产资产关系状态代码
AT#assetClCd,资产分类代码
AT#assetClTpCd,
AT#assetCustRelCd,资产客户关系代码
AT#assetCustRelSeqNbr,资产客户关系序列编号
AT#assetCustRelStsCd,资产客户关系状态代码
AT#assetDeptRelCd,资产部门关系代码
AT#assetDeptRelSeqNbr,资产部门关系序列编号
AT#assetDeptRelStsCd,资产部门关系状态代码
AT#assetDocRelCd,资产文件关系代码
AT#assetDocRelSeqNbr,资产文件关系序列号
AT#assetDocRelStsCd,资产文件关系状态代码
AT#assetDstrbtAmt,资产分配金额
AT#assetDstrbtTpCd,资产分配类型代码
AT#assetEvltnAmt,资产评定金额
AT#assetEvltnDt,资产评定年月日
AT#assetEvltnMthdCd,资产评定方法代码
AT#assetEvltnSeqNbr,资产评定序列编号
AT#assetId,资产识别码
AT#assetInsrncRelSeqNbr,资产保险关系序列编号
AT#assetInsrncRelStsCd,资产保险关系状态代码
AT#assetKndCd,资产种类代码
AT#assetKndNm,资产种类名
AT#assetNm,资产名
AT#assetPrtnrRelCd,资产伙伴关系代码
AT#assetPrtnrRelSeqNbr,资产伙伴关系序列编号
AT#assetPrtnrRelStsCd,资产伙伴关系状态代码
AT#assetRcgntnAmt,资产认可金额
AT#assetRcgntnRt,资产认可比率
AT#assetRcgntnRtClCd,资产认可比率类型代码
AT#assetRcgntnRtSeqNbr,资产认可比率序列编号
AT#assetRvltnAmt,资产重新评估金额
AT#assetScrtyIntRelSeqNbr,资产担保权益关系序列编号
