namespace,cbb_err_msg
AUISCE0015,Loan application amount is greater than the loan available amounts. Please Check Loan Application Amount. 
AUISCE0016,You can't modify after approval. Please check selected contract.
AUISCE0017,Yon can open loan with the same core company's sales of contract. Please check selected contract.
AUISCE0018,When you delete sub contracts, you must check all sub contracts. Please check selected contract.
AUISCE0019,You can't request approval with the state of contract. Please check selected contract.
AUISCE0020,Only one contract can be selected. Please check selected contract.
AUISCE0021,You can link with only contract of sales including 3rd party. Please check selected contract.
AUISCE0022,In order to cancel transaction , please select the final delivery request registration. Please check selected data.
AUISCE0023,You can link with only contract of sales on loan. Please check selected contract.
AUISCE0024,Cancel is possible only when on delivery order status. Please check delivery status.
AUISCE0025,Loan execution amount is greater than 0. Please check input data.
AUISCE0026,You can apply for a loan with the same dealing distinction. Please check selected contract.
AUISCE0027,It is not in a restartable state. Please check the current status.
AUISVE0001,There are duplicate values ​​in the grid. Please delete duplicate values ​​.
AUISVE0002,A pop-up screen . Please enter a path directly .
AUISVE0003,The JSON input type is wrong . Please check the JSON input.
AUISVE0006,There is no error. please check again.
BUIATE0001,We don't have any information about the risk appetite of yours. Would you like to register your risk appetite information? 
BUICUE0001,Original password is incorrect. please check original password.
BUIPYE0001,It is different what you entered account number with linked external main account number. Please, Check your input value.
BUIPYE0004,payment API system error. please contact IT
BUIPYE0005,There is no investment account, open investment account[smart deposit] first. open investment account first.
BUISVE0001,It have no money to withdrawal today. Please transact after confirmation
BUISVE0002,It's not valid amount to withdrawal. Please transact after confirmation.
BUISVE0003,There is not enough money. Please transact after confirmation
BUISVE0004,It's not valid investment Amount. valid investment unit Amount is ({0}). Please transact after confirmation.
BUISVE0005,This product's subscription period is from ({}) to ({}). Please transact after confirmation.
